sentence,labels,lang
"`` Wir freuen uns, Tapeks Noma in Cramo Gruppe begrüßen .",1,de
"- Der Gewinn vor Steuern betrug 105,9 82,7 Mio EUR .",0,de
Royal Dutch Shell zu kaufen BG Gruppe für fast $70 Milliarden,1,de
"FinancialWire tm ist kein Pressemitteilungsdienst und erhält keine Entschädigung für seine Nachrichten , Meinungen oder Distributionen .",0,de
"Die ASSA ABLOY Kaupthing Bank gab eine „neutrale"" Empfehlung und ein Aktienkursziel von 174 Kronen $ 24,7 - 19 Euro auf den schwedischen Schlosser Assa Abloy AB .",0,de
"Der Posten beinhaltete Umstrukturierungskosten in Höhe von 1 ,6 Mio EUR , während sie ein Jahr zuvor 13,1 Mio EUR betrugen. Verdünnte EPS beliefen sich auf EUR0 ,3 gegenüber einem Verlust je Anteil von EUR 0,1 .",1,de
"Im Jahr 2005 erzielte die Bank einen Nettogewinn von 8,2 Mio . Lt .",0,de
"$AAPL Nachmittagsverkauf wie üblich wird brutal sein. machen Sie sich bereit, eine Tonne Geld zu verlieren.",2,de
"$TSLA erinnern so ziemlich jedes einzelne Modell X @cnnbrk haben zu kurz, dass auch bei der Arbeit springen Sie im Geldhandel",2,de
"Dolce & Gabbana hat die Europäische Union gebeten , Marimekko Corporation in einem andauernden Streit zwischen den beiden Unternehmen als """" Unikko """" Blumenmustermarke ungültig zu erklären .",2,de
InterContinental Hotels im ersten Quartal globalen Raum Umsatz verzögert Schätzungen,2,de
"Nach Angaben der finnischen Rentenversicherungsgesellschaft Varma war Varma der Empfänger von mehr als zwei Dritteln der Einnahmen aus der einkommensbezogenen Rentendeckung , die in Finnland im Rahmen einer Ausschreibung im Wettbewerb standen .",1,de
"Ein Teil , $ 12,5 Millionen , wird als Teil seiner Gewinne in einem früheren Patentstreit mit dem finnischen Telefonhersteller Nokia Oyj aufgezeichnet werden .",1,de
"L&G noch zahlenden Preis für Dividendensenkung während der Krise, sagt Chef",2,de
"Das Investitionsvolumen in den beiden Projektphasen wird auf 300 Mio USD ( 215,03 Mio EUR ) geschätzt .",0,de
"Auf Russland entfielen 2009 9 % der Einnahmen des Magazinbereichs Lagardere oder 114,40 Mio . EUR ( 148,11 Mio . USD ) , die USA 18 % .",0,de
"Das Unternehmen schätzt auch die bereits getätigten Investitionen auf einen Anstieg des Nettoumsatzes für 2010 ab 2009, als sie 141,7 Mio. EUR erreichten .",1,de
"Der Gewinn des Geschäftsjahres betrug 0,3 Mio . EUR .",0,de
"Die sechs Brauereien verzeichneten im vergangenen Jahr ein Wachstum von 5,2 Prozent bei den heimischen Bierverkäufen auf 270,21 Millionen Liter von 256,88 Millionen Litern im Jahr 2005.",1,de
"Im August bis Oktober 2010 belief sich das Ergebnis des Unternehmens vor Steuern auf 9,6 Mio . EUR gegenüber 0,5 Mio . EUR im entsprechenden Zeitraum 2009 .",1,de
"Systeemitiimi die Vertriebs-und Projektressourcen werden auch gestärkt werden , Direktor Paul Skogberg sagte .",1,de
Tesco Aktienkurssprünge als Q3 Umsatz Top-Schätzungen,1,de
Der Feinabdruck ist hier.,0,de
Der Preis für Baumstämme hat sich ab 2009 deutlich verbessert und auch der Preis für Pulpwood ist gestiegen.,1,de
"So hat SysOpen Digia gemäß Kapitel 14 Abschnitt 21 des finnischen Companies Act 29.9.1978 - 734 das Eigentum an allen Aktien von Sentera erhalten , die einzuziehen sind .",0,de
"Das verwässerte Ergebnis je Aktie ( EPS ) ging von 1,71 EUR auf 0,63 EUR zurück .",0,de
"Um 15:37 Uhr östlicher Zeit wechselte ein Block von 2.400 Kontrakten zu einem Gebotspreis von $ 0,45.",0,de
"Zu den jüngsten Technologielieferungen gehören Raffinerietechnik an Anrak Aluminium , eine Eisenerz-Pelletieranlage an Tata Steel und Eisenerz-Sinteranlagen an Bhushan Steel .",0,de
$VIPS ähnliche Muster wie Anfang Mai. Haben u verkaufen? Gleich jetzt..will gehen nach oben viel höher nach diesem Tropfen.,1,de
Das Unternehmen erzielte im Jahr 2005 einen Umsatz von 187 Mio. EUR.,0,de
"Stora Enso hatte auch Treffen mit den Arbeitsbehörden , Beschäftigung und wirtschaftliche Entwicklungszentren und Vertreter der Regierung , um Lösungen zu finden .",0,de
AstraZeneca Gewinn nach unten als Umsatz von stalwarts verblassen,2,de
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO Verrückt aussehende Charts, aber näher an Breakout-Widerstandslinie...",1,de
Die meisten bullischen Aktien auf Twitter während dieser Dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY mehr: https://t.co/iuZJelfwt3,1,de
Der Nettoumsatz der finnischen GeoSentric sank im Januar bis März 2009 auf 939.000 EUR .,2,de
"Cohen & Steers , Inc. : 5 534 626 Aktien , die 4,985 % des Grundkapitals und der Stimmrechte ausmachen .",0,de
"Mehr Mitarbeiter wurden in Japan rekrutiert, um ihr Netzwerk von nahezu 50 Servicestandorten in mehr als 20 Ländern weltweit weiter zu ergänzen.",1,de
"Die Papierfirmen befanden sich in negativen Gebieten , mit Stora Enso R 1,62 pct bis 12,73 eur , UPM-Kymmene um 0,80 pct bei 18,64 eur und M-real B 0,18 pct niedriger bei 5,57 eur .",0,de
"Die zentralisierte Verwaltung von Kauko-Telko wird aufgelöst , und bis Ende des Jahres werden entsprechende Teile davon auf die operative Tätigkeit und die Gruppenverwaltung übertragen .",0,de
"Das Betriebsergebnis für das Quartal April-Juni 2006 belief sich auf 182 ,2 Mio. EUR bei einem Umsatz von 3 ,62 Mrd. EUR .",0,de
"Atria wählte die DeLight, um Verbraucher in der Altersgruppe 25-45 zu seiner Atria Fresh Palette von mikrowellenfähigen Mahlzeiten anzuziehen.",0,de
"Der finnische IT-Lösungsanbieter Affecto Oyj HEL: AFE1V sagte heute, dass er im zweiten Quartal 2010 einen Nettoverlust von 115.000 USD 152.000 EUR aus einem Gewinn von 845.000 EUR im entsprechenden Zeitraum des Vorjahres verzeichnete .",0,de
US-Sanktionen setzen Gazprom-Shell-Allianzpläne in Gefahr,2,de
"Der Gewinn für den Zeitraum betrug 10,9 Mio EUR , gegenüber 14,3 Mio EUR im Jahr 2009 .",0,de
"Der Periodenüberschuss betrug 5,9 Mio EUR , gegenüber 1,3 Mio EUR .",1,de
"Das Betriebsergebnis fiel von 74,2 Mio EUR im zweiten Quartal 2008 auf 20,3 Mio EUR .",0,de
"Allerdings kehrte der Umsatz im April-Juni 2010 zu Wachstum , sagte CEO Pekka Eloholma .",1,de
"Das Betriebsergebnis belief sich auf 18,6 Mio EUR bzw . 8,3 % des Nettoumsatzes .",0,de
"Veränderungen in der Marktlage und der härteren Preiskonkurrenz haben die Nachfrage nach Brotverpackungen, die im Werk Kauhava hergestellt wurden, laut dem Unternehmen erheblich reduziert.",2,de
Im Zusammenhang mit dem Deal wird Digia 19 Personen aus Nokia in Oslo und im Silicon Valley in den USA beschäftigen.,0,de
"Die brasilianische Einheit der finnischen Sicherheitslösungen Anbieter F-Secure unterzeichnet 1.500 neue Kunden im vergangenen Jahr , Online-News-Quelle Reseller Web zitiert die Division der kommerziellen Direktor , Vladimir Brand+úo , wie gesagt .",1,de
"Der beizulegende Zeitwert der Anlageimmobilien des Unternehmens ging Ende 2009 von 2,916 Mrd. EUR im Vorjahr auf 2,768 Mrd. EUR zurück .",0,de
"Händler sagten, die Aktie wurde weitgehend von Anleger enttäuscht über eine Raffination Marge von nur 9.48 usd pro Barrel für das Quartal und die Leistung seiner Versandeinheit , die EBIT sank auf 5 mln eur von 20 mln eur ein Jahr inmitten eines Rückgangs der Volumen und Tankerraten .",2,de
""" Es ist ein Beweis für die Qualität unserer LTE-Lösung und unser Engagement für den japanischen Markt "", fügte er hinzu .",0,de
"Ziel der Unternehmen ist es , die Verhandlungen abzuschließen und die Verträge Anfang Oktober 2008 zu unterzeichnen .",0,de
"Metso Foundries Jyvaskyla Oy wird die Produktion auf dieser Linie bis zum 30. September 2008 einstellen , sagte das Unternehmen .",0,de
"Insgesamt sechs der befragten Analysten bewerteten M-real -- zwei gaben `` kaufen '' - `` sammeln '' , drei gaben `` halten '' und nur einer gab `` verkaufen '' .",0,de
"Im September 2010 erklärte sich die finnische Gruppe bereit , das dänische Unternehmen Rose Poultry A-S in einer Kombination aus Bargeld und Aktien für bis zu 23,9 Mio EUR zu erwerben .",1,de
$YANG Doppelte Unterseite 5.2,1,de
Tesco-Aktienkurs nach unten als Lebensmittelhändler konfrontiert SFO Untersuchungsergebnisse,2,de
Die Nachrichten von $aapl werden wieder sehr bullisch http://stks.co/tMU,1,de
"GS Engineering wird die Ventile in einer verflüssigten Erdgas LNG-Anlage, die es für die VAE LNG-Absaugung und Gasanlagen Betreiber GASCO in Ruwais, VAE gebaut hat installieren.",0,de
Die Prozentsätze der Aktien und Stimmrechte wurden im Verhältnis zur Gesamtzahl der im Handelsregister eingetragenen Aktien und zur Gesamtzahl der Stimmrechte berechnet .,0,de
"M-Real sagte, es gibt ` keine Gründe ' für die Gerüchte , die ` seit einigen Monaten auf dem Markt zirkulieren . """,0,de
"Lember sagte, dass die Angelegenheit auch in Estland aktuell war , wo ein Gesetzentwurf beim Ministerium für soziale Angelegenheiten ausgearbeitet wurde , das Altersrenten zu günstigen Bedingungen abschaffen würde .",0,de
"- Moody 's sagte, es gab P A1 langfristige Senior unbesichert und P P-1 kurzfristige Schuldenratings an finnische Kreditgeber Aktia Bank's EUR1 Mrd USD1 ,4 Mrd. Euro mittelfristige Note EMTN Programm vom 25 . März 2011 .",0,de
$TSLA zurückrufen,2,de
"Die Bereitstellung der Liquidität wurde am 11 . Mai 2007 unterbrochen , als die Aktien der Aspocomp Group Oyj unter 0,50 Cent gehandelt wurden .",0,de
"Hargreaves Lansdown Dollars schwache Märkte zu sehen Assets steigen 2,6 Prozent",1,de
"Um 12.59 Uhr war der OMX Helsinki 25 Index mit 2.694.81 0,32 pct niedriger .",2,de
Die Entscheidung bedeutet zeitlich befristete Entlassungen in den Unternehmenseinheiten Nastola und Jyvaskyla in Süd- bzw . Zentralfinnland .,0,de
Der Auftragswert beträgt über EUR 10 Mio .,0,de
Frau Laakso wird für die HR-Funktionen von HKScan und ihre Entwicklung in allen Bereichen der Gruppe verantwortlich sein .,0,de
"Fiskars ist auch in der globalen Lieferung von marinen und Energie-Ausrüstungslösungen und -Dienstleistungen durch die angeschlossene Firma, Wartsila Corporation engagiert.",0,de
Aberdeen Asset Management gewinnt Fuß in China,1,de
"Finnlands dominierendes Eisenbahnunternehmen VR plant, die infizierten Passagiere für eine Fernreise in einem separaten Wagen zu setzen.",0,de
"Im November verringerte die finnische Regierung ihre Beteiligung an dem Unternehmen weiter auf 31,1 Prozent von 38 Prozent .",0,de
"Finnlands Exel Composites , ein Technologieunternehmen , das Composite-Profile und -Röhren für verschiedene industrielle Anwendungen entwickelt , herstellt und vermarktet , meldet im zweiten Quartal 2010 einen Rückgang des Nettoumsatzes um 0,6 % von 19,3 Mio EUR im entsprechenden Zeitraum 2009 auf 19,2 Mio EUR .",0,de
"Von den Gemeinschaftsunternehmen Bavelloni's und NST , Bavelloni Tools , fertigt Halbprodukte , die in Italien hergestellt werden, zu hochwertigen Werkzeugen , die unter der Marke DiaPol verkauft werden .",0,de
"Das Werkzeug ist ein Patent anhängig Design, das es Verbrauchern ermöglicht, ihr gesamtes Projekt auf einer abnehmbaren Platte mit mehreren klaren Stempeln jeglicher Art zu legen.",0,de
$GOOGL ist eine kurze unter 740 in die obere BB und ist überkauft,2,de
"LICHTS OUT Vor der Ausgangssperre , curl up mit dem neuesten Bestseller und behandeln Sie Ihre Augen auf das perfekte Leselicht von Luceplan .",0,de
"UPM-Kymmene Corp , der weltweit größte Hersteller von Zeitschriftenpapier , meldete am Dienstag einen Gewinnrückgang von 19 Prozent als niedrigere Papierpreise , höhere Kosten und starke Euro-Einnahmen .",2,de
Der Gesamtwert des Auftrags beläuft sich auf rund 8 Mio EUR .,0,de
"Voraussetzung für die Aufnahme in das Programm und für den Erhalt etwaiger Gewinne ist , dass wichtige Mitarbeiter Aktien von Aspo in dem vom Vorstand im Voraus festgelegten Betrag in der maximalen Höhe erwerben .",0,de
Herr Dring ist seit 1989 bei Eaton und seit Januar 2007 als Business Unit Manager für Eaton's Power Controls Business Unit tätig.,0,de
"Das 250 qm große 2.691 qm große Geschäft in Kopenhagens führendem Einkaufsviertel wurde heute eingeweiht , wodurch die Präsenz des Unternehmens in den nordischen Hauptstädten weiter gestärkt wurde .",1,de
Im Jahresabschluss für das erste Quartal 2010 wird Tikkurila unter nicht fortgeführten Geschäftsbereichen ausgewiesen .,0,de
"Der weltweit zweitgrößte Edelstahlhersteller sagte , dass der Nettogewinn im Dreimonatszeitraum bis zum 31 . Dezember von 172 Mio . Euros auf 603 Mio . US$ 781 Mio . oder 3 ,33 US$ 4 ,31 pro Aktie oder 0,94 Euros pro Aktie im Vorjahr gestiegen ist .",1,de
"Name des Anmelders : Jot Automation OYName des Erfinders : Mammila Tuomo , Piirainen Mika and Kellokoski MikaAntrag Nr. : 2424-KOLNP-2008 ADatum der Anmeldung : 16-06-2008Publikationsdatum : 30/01/2009",0,de
"Netflix verstärkt Anstrengungen, um treue Kunden zu schaffen $NFLX https://t.co/5QXBkoBphe",1,de
"Der OMX Nordic 40 OMXN40 Index , bestehend aus den 40 am meisten gehandelten nordischen Aktien an der Nasdaq OMX Börse , schloss am Donnerstag 0,87 % mit 1.064,14 Punkten ab .",2,de
$AAPL Nibbling auf einem kleinen langen über 525.. Kauf von 13min Charts..,1,de
"Die operative Marge der Division Aker Yards Cruise & Ferries ging im ersten Quartal 2007 von 8,3 % auf 6,4 % zurück.",2,de
"$TYC gerade im Begriff, auf neue Höhen zu brechen, viele Technik sieht toll aus im Moment.",1,de
"Eero Katajavuori , derzeit Group Vice President , Human Resources , wird ab dem 1 .",0,de
"Was ist mit $LULU? Zahlen sah gut aus, nicht gut, aber gut. Ich denke, Telefonkonferenz wird Vertrauen einflößen.",0,de
"Die Anpassungsmaßnahmen werden in Phasen durchgeführt , um die Lieferfähigkeit zu sichern .",0,de
"Alma Media Corporation Pressemitteilung 15. März 2010 TYRVAAN SANOMAT UND PAIKALLISSANOMAT BEI SUOMEN PAIKALLISSANOMAT Zwei lokale Papiere , Tyrvaan Sanomat und Paikallissanomat , erscheinen in Sastamala und seinen Nachbargemeinden , werden von Suomen Paikallissanomat Oy gekauft werden .",0,de
"Auch befristete Entlassungen , die die gesamte Belegschaft betreffen , werden umgesetzt .",2,de
"Ein Treffen für die Medien und Analysten findet am selben Tag um 10:30 Uhr im Stonesoft Headquarter in Helsinki , Italahdenkatu 22 A. Der Zwischenbericht wird von Stonesoft's CEO Ilkka Hiidenheimo vorgestellt werden .",0,de
"Finnische Sampo-Rosenlew produziert etwa sieben Forstmaschinen monatlich, und etwa die Hälfte der Maschinen werden exportiert.",0,de
"Facebook, in der Nähe eines Kaufpunktes letzte Woche, steht vor einem anderen technischen Test heute https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",1,de
"4 . Februar 2011 - Der finnische Anbieter von Breitband-Datenkommunikationssystemen Teleste Oyj HEL : TLT1V sagte am Mittwoch, dass sein Nettogewinn im Jahr 2010 von 416 000 EUR im Jahr 2009 auf 4 ,8 Mio EUR gestiegen ist und seinen Dividendenvorschlag aufgehoben hat .",1,de
"$FREE Ha Heeeeeere kommt die Pumpe! So froh, dass ich 9K Ende des Tages! Machen Sie sich bereit für die Stierfahrt!",1,de
"Der finnische Technologiekonzern Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) hat am Donnerstag ( 13 . November ) seinen Bericht über das dritte Quartal veröffentlicht und im dritten Quartal 2007 ein operatives Ergebnis in Höhe von 0,4 Mio . EUR gegenüber einem Verlust von 0,5 Mio . EUR erzielt .",1,de
"Der Gebäudekomplex besteht aus hochwertigen Büro- und Einzelhandelsflächen von insgesamt 49.200 Quadratmetern , sagte das Unternehmen .",0,de
Die finnische Versicherungsgesellschaft Fennia und Kesko Group beenden ihre loyale Kundenkooperation.,0,de
Die Einheit soll im zweiten Halbjahr 2007 in Betrieb gehen und 2008 in vollem Gange sein .,0,de
Der Anteil der ITG am Deal wird auf etwa 500.000 Euro $ 627.000 geschätzt .,0,de
Die Anlage soll bis Mitte 2009 in Betrieb genommen werden.,0,de
Aspo hat auch die Absatzmöglichkeiten des Elektronikgeschäfts von Kaukomarkkinat untersucht .,0,de
BG Group ernennt neuen CEO einen Monat früher,0,de
Der Erwerb wird sich unmittelbar positiv auf das Finanzergebnis von Aspocomp auswirken .,1,de
"Finnairs Passagierlastfaktor , der die Anzahl der verkauften Sitze als Anteil an allen verfügbaren Sitzplätzen misst , sank im September um 1,3 Prozentpunkte auf 76,7 % .",2,de
RT @bman1 $LNG sieht primed auch $EGHT bereit zu laufen...,1,de
"Sie liegt ebenfalls 7,7 pct über dem 12-Monats-Volumen gewichteten Durchschnittskurs der Aktie .",1,de
Cola Dividende - 3%. Google Dividende - 0%. Für passive Erträge Cola nimmt es. $GOOG $KO https://t.co/QBsoWjxOST,0,de
"Der Gewinn vor Steuern lag bei 5,4 Mio EUR , gegenüber 3,6 Mio EUR im Vorjahr .",1,de
Die Tochtergesellschaft errichtet eine Anlage zur Herstellung von Leiterplatten oder Leiterplatten mit hoher Dichte in der Sonderwirtschaftszone von Nokia in Sriperumbudur bei Chennai .,0,de
$CRM September 40 Anrufe sind +35% seit Eintrag #BANG http://stks.co/deDm,1,de
"Im Januar bis Juni 2010 beliefen sich die verwässerten Verluste je Aktie im ersten Halbjahr 2009 auf EUR 0,3 gegenüber EUR 0,1 .",2,de
"Rapala sagte, es schätzt, es wird Einsparungen von 1-2 mln eur pro Jahr durch die Zentralisierung seiner französischen Operationen an einem Standort zu machen.",1,de
$VMW Haben einen schönen Schub heute nach kleinen Kehrmaschinen von Mai C heute Morgen,1,de
"Das übertraf Konsensprognosen für ein Ergebnis von 0,21 Euro pro Aktie .",1,de
FuE-Darlehen) .,0,de
Künftig will das Unternehmen Know-how von außerhalb des Unternehmens suchen und mit anderen Akteuren der Branche zusammenarbeiten.,1,de
"Sie müssen bereit sein, wenn das Fenster öffnet sich , Rosberg sagte .",0,de
Im Vertrag werden mehr als 50.000 Tonnen Asphaltmischung verwendet.,0,de
"PA ) , JPMorgan Chase und Co ( NYSE : JPM ) und die Pohjoa Bank sind gemeinsame Lead-Manager des Senior , ungesicherten Deals .",0,de
$CTRP brechen hier auf gute Vol und ein Parser kaufen Signal ..noticed dies auf Bob langs Kommentare auf der Suche nach 48 schnell,1,de
"Im Januar gingen die Verkäufe in Finnland um 10,5 % zurück , während die Verkäufe außerhalb Finnlands um 17 % zurückgingen .",0,de
Auch die Zellstoffproduktion in finnischem Kemij+ñrvi wird liquidiert und rund 1.100 Mitarbeiter verlieren ihre Arbeitsplätze.,2,de
Nordea war die billigste auch für ein Paar in ihren 30er Jahren mit Schulden .,0,de
"Jussi Pesonen , Mitglied des Sampo Boards seit 2006 , wird seinen Sitz in Sampo Board verzichten .",0,de
Tesla erinnert sich an 2.700 Modell X Autos: https://t.co/8Z7BkVsTl9 $TSLA,2,de
"Bereinigt um Änderungen der Konzernstruktur stieg der Umsatz der Division um 1,7 % .",1,de
"Das Unternehmen hat gesagt , dass es sich mit höheren Öl- und Gaspreisen auseinandergesetzt hat , die die Energie - , Rohstoff - und Transportkosten in die Höhe getrieben haben .",0,de
"Die Änderung des Vorschlags vereinfacht den vorgeschlagenen Plan und erhöht den Anreiz für wichtige Mitarbeiter, im Unternehmen zu bleiben .",1,de
Die Lösung wird nun um alle Aufgaben des Bodenpersonals erweitert .,0,de
"Der Betriebsverlust betrug 3,2 Mio . EUR im Vergleich zu einem Ergebnis von 7,2 Mio . EUR im dritten Quartal 2008 .",2,de
"Am #FEDDAY auf der Suche nach einem scharfen Schritt nach oben in Aktien $AAPL $HD $LOW $FB sehen $UVXY $TVIX immer gehämmert, obwohl der Markt ist unten.",1,de
"Der Nettoumsatz belief sich im entsprechenden Zeitraum 2005 auf 93,6 Mio EUR gegenüber 93,2 Mio EUR .",1,de
Infolgedessen hatte der Betriebsrat seine Petition zur Aussetzung der Umstrukturierung zurückgezogen .,0,de
CEO Erkki J+ñrvinen ist mit der Leistung des Unternehmens im Jahr 2010 zufrieden .,1,de
Im Jahr 2008 wird im Einklang mit dem Gruppenziel ein vergleichbarer Umsatz von mehr als 10 % erwartet .,1,de
"Im Anschluss an die Transaktion hat Lundbeck weltweite Rechte für Nalmefene , ausgenommen Nordamerika , Mexiko , die Türkei und Süd-Korea .",1,de
"Die Regierung begann den Verkauf im letzten Monat , indem sie eine 8-prozentige Beteiligung an TeliaSonera auf dem Auktionsblock .",0,de
Der Bericht enthält ferner detaillierte Profile von zehn führenden europäischen Spezialchemieunternehmen sowie kurze Profile anderer wichtiger Akteure .,0,de
"Sowohl das Betriebsergebnis als auch der Umsatz im Dreimonatszeitraum stiegen gegenüber dem entsprechenden Quartal 2006 von 16,0 Mio EUR bzw . 139 Mio EUR .",1,de
Das Unternehmen erwartet für das gesamte Jahr 2009 einen Umsatz auf Vorjahresniveau .,0,de
"Das Unternehmen hat seinen Hauptsitz in Sievi , Finnland , und ist an der Nordischen Börse in Helsinki notiert .",0,de
"Die Einnahmen der Kommission stiegen um 22 % auf 4,4 Mio EUR und das Darlehensvolumen um 13,5 % .",1,de
"Das finnische Unternehmen verkaufte seinen britischen Betrieb - bestehend aus 50 Mitarbeitern in Büros in London , Birmingham und Manchester - als Teil eines Vertrags mit Hampden im Juli 2001 für seine europaweite Immobilien-und Opferarm Sampo Industrial .",0,de
"Im Gebäude- und Heimwerkerhandel ging der Umsatz um 22,5 % auf 201,4 Mio EUR zurück.",2,de
"Das Gebäude Innova 2 befindet sich in der Nähe der Innenstadt , in unmittelbarer Nähe von Paviljonki und dem Reisezentrum , und nur wenige Gehminuten vom Herzen der Stadt dank der Messebrücke .",0,de
"Die finnische Textil- und Bekleidungsgruppe Marimekko Oyj erzielte für 2006 einen Nettogewinn von 7,99 Mio Euro 10,4 Mio Euro , verglichen mit 8,4 Mio Euro 10,9 Mio Euro für 2005 .",0,de
Die Hauptstärke des Kooperationsprojekts liegt in der Zusammenführung des Know-hows zweier großer Unternehmen .,1,de
"Die Aktionäre haben das Recht , die in die Zuständigkeit der Hauptversammlung fallenden Hauptversammlungspunkte auf die Tagesordnung zu setzen .",0,de
Kazgiprotsvetmet und Outotec Finnland haben eine Vereinbarung über die strategische Zusammenarbeit bei der Vermarktung und Bereitstellung von Mineralverarbeitungs- und metallurgischen Anlagen und damit zusammenhängenden Dienstleistungen in Kasachstan und den umliegenden Ländern unterzeichnet.,1,de
Aufgrund des raschen Rückgangs des Nettoumsatzes wurden die Personaleinsparungen in größerem Umfang als ursprünglich erwartet durchgeführt .,0,de
Die Regierung hat stattdessen einen Austausch der staatlichen Beteiligung an LMT an TeliaSonera's Beteiligung an Lattelecom vorgeschlagen .,0,de
Stora soll am 4 . Februar das Ergebnis des vierten Quartals und des Jahres 2009 freigeben .,0,de
"Das operative Gesamtergebnis für 2008 betrug 3,6 Millionen negative .",0,de
